<DATE>	<CLOSE>	<VOL>
20131202	1473,56	24197109613
20131203	1448,43	47455857306
20131204	1439,36	43484923092
20131205	1428,71	41406154356
20131206	1448,67	37376374907
20131209	1465,7	37250893488
20131210	1465,93	32342570021
20131211	1462,53	28795704936
20131212	1449,74	36017683007
20131213	1450,2	32308838736
20131216	1472,76	40078766974
20131217	1480,58	35645146523
20131218	1490,86	31635195435
20131219	1500,69	45078955525
20131220	1496,35	36565392186
20131223	1507,85	28684882001
20131224	1508,19	17528516186
20131225	1501,12	12006610828
20131226	1501,83	12027701517
20131227	1494,53	16645782651
20131230	1503,39	18693008151
20140106	1463,75	16899853941
20140108	1462,67	16027208644
20140109	1464,95	20056139248
20140110	1469,39	26014306595
20140113	1477,28	29596722793
20140114	1471,06	31230995484
20140115	1485,77	34588970751
20140116	1480,43	30825691118
20140117	1484,85	31481519788
20140120	1495,94	23823873748
20140121	1503,6	32920309250
20140122	1498,73	42599589813
20140123	1493,79	36924884218
20140124	1492,72	50458496617
20140127	1477,87	46236592629
20140128	1470,83	39833131971
20140129	1463,11	51739848074
20140130	1463,6	52405227882
20140131	1454,05	42264453229
20140203	1440,9	32778246789
20140204	1441,79	35953450593
20140205	1456	32228722826
20140206	1463,96	28543630077
20140207	1478,22	30965552387
20140210	1475,9	23411352583
20140211	1483,57	26102577251
20140212	1498,08	28049402947
20140213	1478,77	28254062183
20140214	1494,32	30474386521
20140217	1507,49	28079414670
20140218	1504,24	29676093042
20140219	1485,6	42334867727
20140220	1480,99	33694582444
20140221	1487,64	23318948666
20140224	1489,01	19772900486
20140225	1478,64	28414020573
20140226	1469,51	35931158697
20140227	1448,7	52734826934
20140228	1444,71	49924435497
20140303	1288,81	1,14797E+11
20140304	1356,54	93980994812
20140305	1351,11	51458666467
20140306	1337,98	73730707234
20140307	1339,36	49801950288
20140311	1308,7	43995018689
20140312	1274,21	51981014351
20140313	1248,56	57982552741
20140314	1237,43	82550968523
20140317	1283,7	92223261770
20140318	1335,86	71329119457
20140319	1319,02	63037171113
20140320	1320,5	42677768542
20140321	1307,34	61637716793
20140324	1297,91	42746229557
20140325	1324,44	52552458215
20140326	1349,39	58184268297
20140327	1331,93	44862038717
20140328	1344,12	38623558833
20140331	1369,29	44009638604
20140401	1375,73	43677890257
20140402	1373,33	40080119279
20140403	1366,04	34651168726
20140404	1382,41	38443658067
20140407	1349,79	56297711554
20140408	1352,33	43914354331
20140409	1348,85	39501266590
20140410	1367,71	41994459771
20140411	1362,4	39604300301
20140414	1344,86	43507706220
20140415	1311,01	41391606206
20140416	1322,6	50484789003
20140417	1329,67	35896730364
20140418	1356,54	28168831213
20140421	1345,04	20143790154
20140422	1335,62	33034264906
20140423	1329,11	29810475925
20140424	1300,54	49874818331
20140425	1280,12	48263358097
20140428	1299,13	57728932367
20140429	1304,78	37894446155
20140430	1306,01	27633273026
20140502	1304,84	15722736384
20140505	1298,29	15961246766
20140506	1318,57	30132972425
20140507	1363,48	59698326165
20140508	1371,42	53087912546
20140512	1375,31	37536188802
20140513	1385,29	44141421463
20140514	1389,11	33917167205
20140515	1381,99	40174867065
20140516	1392,3	33229737990
20140519	1413,85	42096922950
20140520	1425,58	49706788626
20140521	1439,9	60826079053
20140522	1430,54	33777890007
20140523	1438,98	36655049047
20140526	1449,36	26221929164
20140527	1417,32	45006497893
20140528	1425,95	33227619823
20140529	1447,39	36824096831
20140530	1432,03	34649491010
20140602	1464,47	41184593332
20140603	1472,83	35421804972
20140604	1475,79	32306371771
20140605	1470,7	36330897151
20140606	1484,94	38599777176
20140609	1485,39	26374925321
20140610	1490,81	29430518122
20140611	1501,18	26752337561
20140616	1493,93	64386743439
20140617	1486,38	29664844808
20140618	1494,28	33911920376
20140619	1495,09	33365816577
20140620	1486,3	31416741323
20140623	1486,3	27991633367
20140624	1518,83	47131621979
20140625	1481,95	39009853271
20140626	1473,18	33389595355
20140627	1477,32	24506324520
20140630	1476,38	25738557239
20140701	1482,92	24341254952
20140702	1514,33	34704130377
20140703	1514,47	29541346787
20140704	1489,53	25432309583
20140707	1513,72	26447591867
20140708	1516,75	36406962321
20140709	1513,38	28433619876
20140710	1494,92	40593712934
20140711	1499,82	27280591834
20140714	1483,41	25874350380
20140715	1475,77	31348119170
20140716	1474,72	31471423221
20140717	1440,63	46983315494
20140718	1422,53	40042413140
20140721	1384,5	39527909818
20140722	1405,97	35820774896
20140723	1406,58	29647055743
20140724	1408,8	25372742027
20140725	1388,41	29628586311
20140728	1361,94	30461885017
20140729	1369,83	35280719684
20140730	1382,14	38363266132
20140731	1379,61	29121177754
20140801	1374,83	33134471815
20140804	1378,98	26195753576
20140805	1357,89	26258554225
20140806	1334,66	44555802086
20140807	1333,53	46389687389
20140808	1348,21	34479528820
20140811	1372,45	31242120463
20140812	1374,19	30027011620
20140813	1398,85	33763586053
20140814	1407,53	32917275901
20140815	1417,82	26772144978
20140818	1425,18	18156608193
20140819	1437,6	25673186641
20140820	1447,5	25728795150
20140821	1461,75	28439597629
20140822	1446,6	28861993115
20140825	1454,67	17577741392
20140826	1443,32	19706721633
20140827	1447,91	19549941365
20140828	1423,78	43849484690
20140829	1400,71	33201404778
20140901	1392,4	34518068575
20140902	1400,35	20818865093
20140903	1449,29	56947742576
20140904	1457,34	34234449476
20140905	1474,71	37451362820
20140908	1464,76	26433491805
20140909	1468,17	22936789195
20140910	1468,55	19594281049
20140911	1449,63	30806370159
20140912	1458,52	30540111711
20140915	1454,19	36468665661
20140916	1477,31	34534659889
20140917	1449,37	43639537600
20140918	1448,63	26613627505
20140919	1431,58	40511648507
20140922	1412,83	24222820008
20140923	1429,45	25653683539
20140924	1441,83	27112532783
20140925	1436,05	28583336065
20140926	1434,2	27264278974
20140929	1408,28	28044716283
20140930	1411,07	33303774005
20141001	1399,99	28794881658
20141002	1376,35	33543753262
20141003	1384,66	27442688141
20141006	1418,15	30502201300
20141007	1403,48	25197385593
20141008	1379,76	30130451650
20141009	1384,33	31671675951
20141010	1364,24	33138650374
20141013	1383,93	28526206652
20141014	1394,16	28680729591
20141015	1377,09	27114234624
20141016	1360,33	39682859305
20141017	1384,72	30556742952
20141020	1376,36	28265801696
20141021	1383,35	30231469878
20141022	1374,19	30095399433
20141023	1372,92	34303057213
20141024	1380,39	20593290051
20141027	1394,27	29726383684
20141028	1415,51	30758815931
20141029	1439,58	36586717584
